id          category_id text                                                                                                                                                                                                                                                             difficulty type       explanation
----------- ----------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
31          7           Door wie is de Nachtwacht geschilderd?                                                                                                                                                                                                                           easy       multiple   Rembrandt van Rijn
32          7           Voor hoeveel euro is er uit het Louvre gestolen in 2025?                                                                                                                                                                                                         medium     multiple   88 miljoen euro
33          7           Wie schreef het beroemde toneelstuk 'Hamlet'?                                                                                                                                                                                                                    medium     multiple   William Shakespeare
34          7           Welk boek van Tim Krabbé heeft iedere middelbare scholier op zijn leeslijst staan?                                                                                                                                                                               medium     multiple   Het gouden ei
35          7           Welk dystopische roman van Margaret Atwood werd in 2017 verfilmd als populaire televisieserie?                                                                                                                                                                   hard       multiple   The Handmaid's Tale
36          8           In welk land is goulash uitgevonden?                                                                                                                                                                                                                             easy       multiple   Hongarije
37          8           Waar wordt Japanse Sake van gemaakt?                                                                                                                                                                                                                             medium     multiple   Rijst
38          8           Wat bevat meer kilocalorieën per 100 gram, appel of banaan?                                                                                                                                                                                                      medium     multiple   Banaan (ca. 88,7 kcal, appel ca. 52,1 kcal)
39          8           Welke shot bestaat voor 1/3 uit Pisang Ambon, voor 1/3 uit Del Pinda Colada en voor 1/3 uit jus d'orange?                                                                                                                                                        medium     multiple   Boswandeling
40          8           Welke vrucht staat bekend als 's werelds meest stinkende vrucht?                                                                                                                                                                                                 hard       multiple   Doerian
41          9           Wat is de langste rivier van Zuid-Amerika?                                                                                                                                                                                                                       easy       multiple   De Amazone
42          9           Hoe heet het vloeibare gesteente dat zich onder het aardoppervlak bevindt?                                                                                                                                                                                       medium     multiple   Magma
43          9           Hoe heet het klimaatgebied in de poolstreek waar geen hoge planten kunnen groeien; enkel grassen, mossen en dwergstruiken?                                                                                                                                       medium     multiple   De toendra
44          9           Van welk land is Valletta de hoofdstad?                                                                                                                                                                                                                          medium     multiple   Malta
45          9           Wat is de munteenheid van Polen?                                                                                                                                                                                                                                 hard       multiple   De Poolse zloty
46          10          Wat was de bijnaam van Elvis Presley?                                                                                                                                                                                                                            easy       multiple   The King of Rock, Elvis de Pelvis
47          10          Welke Britse singer-songwriter ken je van grote hits als 'Perfect', 'Shape of You' en  'Galway Girl'?                                                                                                                                                            medium     multiple   Ed Sheeran
48          10          Wat is de artiestennaam van de Amerikaanse zangeres 'Stefani Joanne Angelina Germanotta'?                                                                                                                                                                        medium     multiple   Lady Gaga
49          10          Van welke Engelse band is Thom Yorke de leadzanger?                                                                                                                                                                                                              medium     multiple   Radiohead
50          10          Met welk nummer won de Italiaanse rockband Måneskin in 2021 het Eurovisiesongfestival?                                                                                                                                                                           hard       multiple   ZITTI E BUONI

(50 rows affected)


Completion time: 2025-11-28T13:47:21.5719754+01:00
